Mix,Cement ,GGBS ,FA ,NCA,RCA,PPF,Water ,Curing_Days,Strength (output)
M18,305.25,101.75,654.38,288.23,749.94,-,175,28,5.28
M19,254.38,152.63,650.15,286.37,745.10,2.28,175,28,5.68
M20,203.50,203.50,645.92,284.51,740.26,4.55,175,28,5.29
M21,407.00,-,648.39,-,990.78,9.10,175,28,3.85
M22,356.13,50.88,656.19,-,1002.70,0.00,175,28,4.56
M23,305.25,101.75,651.97,-,996.25,2.28,175,28,4.76
M24,254.38,152.63,647.74,-,989.79,4.55,175,28,4.97
M25,203.50,203.50,643.52,-,983.33,6.83,175,28,5.27
M1,407.00,-,658.02,1159.35,-,-,175,28,5.66
M2,356.13,50.88,653.79,1151.90,0.00,2.28,175,28,6.16
M3,305.25,101.75,649.56,1144.45,0.00,4.55,175,28,6.37
M4,254.38,152.63,645.34,1137.01,0.00,6.83,175,28,6.98
M5,203.50,203.50,641.11,1129.56,0.00,9.10,175,28,7.18
M6,407.00,-,655.61,866.33,250.45,2.28,175,28,5.15
M7,356.13,50.88,651.38,860.74,248.84,4.55,175,28,5.55
M8,305.25,101.75,647.16,855.16,247.22,6.83,175,28,6.26
M9,254.38,152.63,642.93,849.57,245.61,9.10,175,28,6.47
M10,203.50,203.50,650.74,859.89,248.59,-,175,28,6.47
M11,407.00,-,653.20,575.43,499.06,4.55,175,28,5.13
M12,356.13,50.88,648.97,571.71,495.84,6.83,175,28,5.34
M13,305.25,101.75,644.75,567.99,492.61,9.10,175,28,5.25
M14,254.38,152.63,652.56,574.86,498.57,0.00,175,28,5.75
M15,203.50,203.50,626.67,552.06,478.80,2.28,175,28,5.76
M16,407.00,-,650.79,286.66,745.84,6.83,175,28,4.52
M17,356.13,50.88,646.57,284.79,741.00,9.10,175,28,4.53
M18,305.25,101.75,654.38,288.23,749.94,-,175,28,5.14
M19,254.38,152.63,650.15,286.37,745.10,2.28,175,28,5.54
M20,203.50,203.50,645.92,284.51,740.26,4.55,175,28,5.15
M21,407.00,-,648.39,-,990.78,9.10,175,28,3.71
M22,356.13,50.88,656.19,-,1002.70,0.00,175,28,4.42
M23,305.25,101.75,651.97,-,996.25,2.28,175,28,4.62
M24,254.38,152.63,647.74,-,989.79,4.55,175,28,4.83
M25,203.50,203.50,643.52,-,983.33,6.83,175,28,5.13
M1,407.00,-,658.02,1159.35,-,-,175,28,5.72
M2,356.13,50.88,653.79,1151.90,0.00,2.28,175,28,6.22
M3,305.25,101.75,649.56,1144.45,0.00,4.55,175,28,6.43
M4,254.38,152.63,645.34,1137.01,0.00,6.83,175,28,7.04
M5,203.50,203.50,641.11,1129.56,0.00,9.10,175,28,7.24
M6,407.00,-,655.61,866.33,250.45,2.28,175,28,5.21
M7,356.13,50.88,651.38,860.74,248.84,4.55,175,28,5.61
M8,305.25,101.75,647.16,855.16,247.22,6.83,175,28,6.32
M9,254.38,152.63,642.93,849.57,245.61,9.10,175,28,6.53
M10,203.50,203.50,650.74,859.89,248.59,-,175,28,6.53
M11,407.00,-,653.20,575.43,499.06,4.55,175,28,5.19
M12,356.13,50.88,648.97,571.71,495.84,6.83,175,28,5.40
M13,305.25,101.75,644.75,567.99,492.61,9.10,175,28,5.31
M14,254.38,152.63,652.56,574.86,498.57,0.00,175,28,5.81
M15,203.50,203.50,626.67,552.06,478.80,2.28,175,28,5.82
M16,407.00,-,650.79,286.66,745.84,6.83,175,28,4.58
M17,356.13,50.88,646.57,284.79,741.00,9.10,175,28,4.59
M18,305.25,101.75,654.38,288.23,749.94,-,175,28,5.20
M19,254.38,152.63,650.15,286.37,745.10,2.28,175,28,5.60
M20,203.50,203.50,645.92,284.51,740.26,4.55,175,28,5.21
M21,407.00,-,648.39,-,990.78,9.10,175,28,3.77
M22,356.13,50.88,656.19,-,1002.70,0.00,175,28,4.48
M23,305.25,101.75,651.97,-,996.25,2.28,175,28,4.68
M24,254.38,152.63,647.74,-,989.79,4.55,175,28,4.89
