MIX,Cement ,GGBS ,FA ,NCA,RCA,PPF,Water ,Curing_Days,Split_Tensile_Strength
M18,305.25,101.75,654.38,288.23,749.94,-,175,28,4.26
M19,254.38,152.63,650.15,286.37,745.10,2.28,175,28,4.48
M20,203.50,203.50,645.92,284.51,740.26,4.55,175,28,4.39
M21,407.00,-,648.39,-,990.78,9.10,175,28,2.65
M22,356.13,50.88,656.19,-,1002.70,0.00,175,28,3.43
M23,305.25,101.75,651.97,-,996.25,2.28,175,28,3.91
M24,254.38,152.63,647.74,-,989.79,4.55,175,28,4
M25,203.50,203.50,643.52,-,983.33,6.83,175,28,4.4
M1,407.00,-,658.02,1159.35,-,-,175,28,2.02
M2,356.13,50.88,653.79,1151.90,0.00,2.28,175,28,3.44
M3,305.25,101.75,649.56,1144.45,0.00,4.55,175,28,4.12
M4,254.38,152.63,645.34,1137.01,0.00,6.83,175,28,4.42
M5,203.50,203.50,641.11,1129.56,0.00,9.10,175,28,4.28
M6,407.00,-,655.61,866.33,250.45,2.28,175,28,3.33
M7,356.13,50.88,651.38,860.74,248.84,4.55,175,28,4.23
M8,305.25,101.75,647.16,855.16,247.22,6.83,175,28,4.52
M9,254.38,152.63,642.93,849.57,245.61,9.10,175,28,4.88
M10,203.50,203.50,650.74,859.89,248.59,-,175,28,4.66
M11,407.00,-,653.20,575.43,499.06,4.55,175,28,3.12
M12,356.13,50.88,648.97,571.71,495.84,6.83,175,28,3.72
M13,305.25,101.75,644.75,567.99,492.61,9.10,175,28,4.34
M14,254.38,152.63,652.56,574.86,498.57,0.00,175,28,4.58
M15,203.50,203.50,626.67,552.06,478.80,2.28,175,28,4.66
M16,407.00,-,650.79,286.66,745.84,6.83,175,28,2.91
M17,356.13,50.88,646.57,284.79,741.00,9.10,175,28,3.71
M18,305.25,101.75,654.38,288.23,749.94,-,175,28,4.28
M19,254.38,152.63,650.15,286.37,745.10,2.28,175,28,4.56
M20,203.50,203.50,645.92,284.51,740.26,4.55,175,28,4.52
M21,407.00,-,648.39,-,990.78,9.10,175,28,2.78
M22,356.13,50.88,656.19,-,1002.70,0.00,175,28,3.35
M23,305.25,101.75,651.97,-,996.25,2.28,175,28,4.01
M24,254.38,152.63,647.74,-,989.79,4.55,175,28,4.3
M25,203.50,203.50,643.52,-,983.33,6.83,175,28,4.04
M1,407.00,-,658.02,1159.35,-,-,175,28,2.12
M2,356.13,50.88,653.79,1151.90,0.00,2.28,175,28,3.18
M3,305.25,101.75,649.56,1144.45,0.00,4.55,175,28,4.32
M4,254.38,152.63,645.34,1137.01,0.00,6.83,175,28,4.3
M5,203.50,203.50,641.11,1129.56,0.00,9.10,175,28,4.26
M6,407.00,-,655.61,866.33,250.45,2.28,175,28,3.35
M7,356.13,50.88,651.38,860.74,248.84,4.55,175,28,4.13
M8,305.25,101.75,647.16,855.16,247.22,6.83,175,28,4.47
M9,254.38,152.63,642.93,849.57,245.61,9.10,175,28,4.9
M10,203.50,203.50,650.74,859.89,248.59,-,175,28,4.7
M11,407.00,-,653.20,575.43,499.06,4.55,175,28,3.11
M12,356.13,50.88,648.97,571.71,495.84,6.83,175,28,3.75
M13,305.25,101.75,644.75,567.99,492.61,9.10,175,28,4.4
M14,254.38,152.63,652.56,574.86,498.57,0.00,175,28,4.58
M15,203.50,203.50,626.67,552.06,478.80,2.28,175,28,4.7
M16,407.00,-,650.79,286.66,745.84,6.83,175,28,2.93
M17,356.13,50.88,646.57,284.79,741.00,9.10,175,28,3.7
M18,305.25,101.75,654.38,288.23,749.94,-,175,28,4.24
M19,254.38,152.63,650.15,286.37,745.10,2.28,175,28,4.55
M20,203.50,203.50,645.92,284.51,740.26,4.55,175,28,4.54
M21,407.00,-,648.39,-,990.78,9.10,175,28,2.79
M22,356.13,50.88,656.19,-,1002.70,0.00,175,28,3.31
M23,305.25,101.75,651.97,-,996.25,2.28,175,28,4.05
M24,254.38,152.63,647.74,-,989.79,4.55,175,28,4.32
M25,203.50,203.50,643.52,-,983.33,6.83,175,28,4.05
